id;login;password_hash;first_name;last_name;email;image_url;activated;lang_key;created_by;last_modified_by
1;admin;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Administrator;Administrator;admin@localhost;;true;es;system;system
2;user;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user@localhost;;true;es;system;system
3;prueba1;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;prueba1;prueba1;prueba1@prueba1.com;;true;es;system;system
4;prueba2;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;prueba2;prueba2;prueba2@prueba2.com;;true;es;system;system
5;prueba3;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;prueba3;prueba3;prueba3@prueba3.com;;true;es;system;system
6;prueba4;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;prueba4;prueba4;prueba4@prueba4.com;;true;es;system;system
7;prueba5;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;prueba5;prueba5;prueba5@prueba5.com;;true;es;system;system
8;prueba6;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;prueba6;prueba6;prueba6@prueba6.com;;true;es;system;system
9;prueba7;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;prueba7;prueba7;prueba7@prueba7.com;;true;es;system;system
10;gonguelun;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;gonguelun;gonguelun;gonguelun@alum.us.es;;true;es;system;system
